lemma	docs	occurrences
усложняться	610.0	751.0
порезать	741.0	1131.0
побрать	1099.0	2153.0
устав	4163.0	12020.0
ненаписанный	212.0	253.0
бездействовать	684.0	838.0
содрогаться	1092.0	1558.0
горланить	492.0	650.0
неудовольствие	2193.0	4776.0
летний	11851.0	27093.0
нут	46.0	131.0
подойти	12415.0	67504.0
самоопределение	580.0	1349.0
полушепот	392.0	588.0
вынос	704.0	980.0
отвлечься	1430.0	2221.0
растягивать	994.0	1292.0
продавать	7442.0	17371.0
республика	8009.0	26149.0
изнанка	632.0	876.0
пристойный	882.0	1474.0
припечатать	284.0	331.0
Бостон	560.0	1028.0
бурлить	1237.0	1746.0
утащить	839.0	1199.0
хутор	1572.0	7767.0
роскошно	899.0	1185.0
шувалова	378.0	1359.0
душечка	341.0	796.0
удивляться	6811.0	17482.0
сдавление	17.0	19.0
противовес	1070.0	1755.0
всесильный	1156.0	1679.0
тоталитаризм	422.0	792.0
отшатываться	200.0	244.0
скользящий	781.0	1066.0
реестр	790.0	1736.0
местность	5272.0	15142.0
аккуратный	5134.0	12218.0
спецовка	222.0	333.0
увертываться	290.0	338.0
набегать	1035.0	1509.0
мессианский	153.0	387.0
род	17320.0	75946.0
пролет	1017.0	2000.0
тратиться	1222.0	1462.0
бесстрашие	661.0	898.0
приколоть	673.0	869.0
рассыпаться	3181.0	5984.0
спилить	294.0	375.0
комариный	350.0	484.0
знающий	4430.0	8076.0
библиотекарша	201.0	371.0
пергамент	447.0	822.0
карга	169.0	260.0
сельдь	496.0	961.0
материть	8883.0	43065.0
буэнос	23.0	29.0
плевый	311.0	451.0
ужесточить	262.0	286.0
сеточка	197.0	256.0
бунтовать	1180.0	2083.0
профиль	3063.0	6123.0
вскинуть	1577.0	3477.0
красотка	745.0	1332.0
баллотироваться	466.0	705.0
утомляемость	131.0	203.0
несообразность	459.0	618.0
сосновый	1917.0	3995.0
ареал	312.0	684.0
хлебнуть	940.0	1344.0
нижний	10094.0	29136.0
распределить	2344.0	3293.0
грабитель	2143.0	3704.0
мести	3311.0	6766.0
родничок	132.0	240.0
охранять	4003.0	8017.0
серьезный	19323.0	64138.0
просиять	951.0	1466.0
свернуться	1280.0	1805.0
